ending1,ending2,labels,startphrase
Bantuanmu tidak berguna.,Bantuanmu sangat membantu.,0,Bantuanmu ibarat jas hujan yang dipakai di siang bolong ketika matahari terik.
Bantuanmu tidak berguna.,Bantuanmu sangat membantu.,1,Bantuanmu ibarat tawaran air minum ketika aku sedang kepedasan.
Warna lipstick yang kau pakai pas dan cocok.,Warna lipstick yang kau pakai tidak cocok.,0,Warna lipstik yang kau pakai bagai sepatu kaca di kaki Cinderella.
Warna lipstick yang kau pakai pas dan cocok.,Warna lipstick yang kau pakai tidak cocok.,1,Warna lipstik yang kau pakai bagai sepatu kaca di kaki raksasa.
Make up yang kau pakai hari ini gelap dan pucat.,Make up yang kau pakai hari ini berwarna.,0,Make up yang kau pakai hari ini seperti orang yang akan pergi melayat.
Make up yang kau pakai hari ini gelap dan pucat.,Make up yang kau pakai hari ini berwarna.,1,Make up yang kau pakai hari ini seperti orang yang akan pergi ke pesta ulang tahun.
Aku merasa lapar sekali.,Aku merasa kenyang sekali.,0,Aku merasa seperti pengemis yang sudah satu minggu tidak makan apapun.
Aku merasa lapar sekali.,Aku merasa kenyang sekali.,1,Aku merasa seperti anak sultan yang sudah tidak mampu memasukkan makanan ke dalam mulutnya.
Teman sekelasku sangat cerdas.,Teman sekelasku sangat bodoh.,0,Teman sekelasku sungguh bagai bintang yang cahayanya terang benderang.
Teman sekelasku sangat cerdas.,Teman sekelasku sangat bodoh.,1,Teman sekelasku sungguh bagai keledai yang terus menerus jatuh ke lubang yang sama.
Skincare yang dia pakai mahal.,Skincare yang dia pakai murah.,0,Skincare yang dia pakai seharga satu buah mobil.
Skincare yang dia pakai mahal.,Skincare yang dia pakai murah.,1,Skincare yang dia pakai seharga sebungkus kacang rebus.
Dia membawa koper besar.,Dia membawa koper kecil.,0,Dia membawa koper segede kapal Nabi Nuh.
Dia membawa koper besar.,Dia membawa koper kecil.,1,Dia membawa koper segede saku seragam pramuka anak SD.
Larinya cepat.,Larinya lambat.,0,Larinya secepat pebalap F1.
Larinya cepat.,Larinya lambat.,1,Larinya secepat porter stasiun yang memikul dua koper besar.
Adit disayang.,Adit tidak disayang.,0,Adit diperlakukan seperti anak emas.
Adit disayang.,Adit tidak disayang.,1,Adit diperlakukan seperti anak pungut.
Mobilmu bau.,Mobilmu harum.,0,Mobilmu bak truk sampah.
Mobilmu bau.,Mobilmu harum.,1,Mobilmu bak toko bunga.
Tugasku banyak sekali.,Tugasku sedikit sekali.,0,Tugasku sudah seperti antrian orang yang akan menonton konser kpop.
Tugasku banyak sekali.,Tugasku sedikit sekali.,1,Tugasku sudah seperti kondisi sekolah di hari libur.
Pacar kakakku terlalu muda.,Pacar kakakku terlalu tua.,0,Pacar kakakku ibarat buah yang belum siap dipetik.
Pacar kakakku terlalu muda.,Pacar kakakku terlalu tua.,1,Pacar kakakku ibarat buah yang sudah tidak layak dipetik.
Wajahmu layu.,Wajahmu ceria.,0,Wajahmu terlihat seperti bunga yang satu minggu tidak disiram.
Wajahmu layu.,Wajahmu ceria.,1,Wajahmu terlihat seperti orang yang baru mendapat lotre.
Rambut adikku panjang.,Rambut adikku pendek.,0,Rambut adikku sudah sepanjang Rapunzel.
Rambut adikku panjang.,Rambut adikku pendek.,1,Rambut adikku sudah sepanjang sumbu lilin.
Pengalamannya luas.,Pengalamannya sempit.,0,Pengalamannya sudah seluas savana Afrika.
Pengalamannya luas.,Pengalamannya sempit.,1,Pengalamannya sudah seluas liang kubur.
Rasa obat ini pahit.,Rasa obat ini manis.,0,Rasa obat ini bak air rebusan sereh.
Rasa obat ini pahit.,Rasa obat ini manis.,1,Rasa obat ini bak air gula.
Baju yang kamu kenakan kebesaran.,Baju yang kamu kenakan kekecilan.,0,Baju yang kamu kenakan ibarat anak bayi menggunakan baju anak SD.
Baju yang kamu kenakan kebesaran.,Baju yang kamu kenakan kekecilan.,1,Baju yang kamu kenakan ibarat ibu-ibu menggunakan baju anaknya yang masih berusia 5 tahun.
Kue buatannya enak sekali.,Kue buatannya sangat tidak enak.,0,Kue buatannya bagai kue yang disajikan di restoran bintang lima.
Kue buatannya enak sekali.,Kue buatannya sangat tidak enak.,1,Kue buatannya bagai kue yang dibuat menggunakan bahan-bahan kadaluarsa.
wajahnya kasar.,wajahnya halus.,0,Wajahnya kentang .
wajahnya kasar.,wajahnya halus.,1,Wajahnya  seperti jeruk mandarin.
Sifat Ara jahat.,Sifat Ara baik.,0,Sifat Ara seperti nenek lampir.
Sifat Ara jahat.,Sifat Ara baik.,1,Sifat Ara seperti ibu peri.
dia berjalan lambat .,dia berjalan cepat .,0,Dia berjalan seperti siput .
dia berjalan lambat .,dia berjalan cepat .,1,Dia berjalan seperti kelinci .
ucapan perempuan itu menyakitkan .,ucapan perempuan itu menyenangkan .,0,Ucapan perempuan itu sungguh menyayat hati .
ucapan perempuan itu menyakitkan .,ucapan perempuan itu menyenangkan .,1,Ucapan perempuan itu menenangkan hati .
Suara Rano Jelek .,Suara Rano bagus .,0,Suara Rano semerdu kaset rusak .
Suara Rano Jelek .,Suara Rano bagus .,1,Suara Rano semerdu hujan .
Baju ini bau .,Baju ini wangi .,0,Baju ini aroma  bunga bangkai .
Baju ini bau .,Baju ini wangi .,1,Baju ini aroma  bunga bakung .
Sikap Erlangga kepada Mutia dingin .,Sikap Erlangga kepada Mutia hangat .,0,Sikap Erlangga kepada Mutia sedingin es .
Sikap Erlangga kepada Mutia dingin .,Sikap Erlangga kepada Mutia hangat .,1,Sikap Erlangga kepada Mutia mentari .
Fino dijuluki sebagai orang yang rajin .,Fino dijuluki sebagai pemalas .,0,Fino dijuluki sebagai kutu buku .
Fino dijuluki sebagai orang yang rajin .,Fino dijuluki sebagai pemalas .,1,Fino dijuluki sebagai berat kaki .
ucapan Rangga memberikan semangat .,ucapan Rangga menyakiti hati .,0,Ucapan Rangga membakar semangat .
ucapan Rangga memberikan semangat .,ucapan Rangga menyakiti hati .,1,Ucapan Rangga menusuk hati .
jarak rumah Bejo ke sekolah jauh .,jarak rumah Bejo ke sekolah dekat .,0,Jarak dari Rumah Bejo ke sekolah bagaikan jarak dari langit ke bumi .
jarak rumah Bejo ke sekolah jauh .,jarak rumah Bejo ke sekolah dekat .,1,Jarak dari Rumah Bejo ke sekolah jarak dari sini ke depan gang .
Dino dijuluki sebagai orang bodoh.,Dino dijuluki sebagai orang pintar.,0,Dino dijuluki sebagai kepala udang.
Dino dijuluki sebagai orang bodoh.,Dino dijuluki sebagai orang pintar.,1,Dino dijuluki sebagai juara kelas.
"Dalam tim sepak bola, Tino pemain cadangan .","Dalam tim sepak bola, Tino pemain inti .",0,"Dalam tim sepak bolanya, Tino bagaikan anak bawang ."
"Dalam tim sepak bola, Tino pemain cadangan .","Dalam tim sepak bola, Tino pemain inti .",1,"Dalam tim sepak bolanya, Tino bagaikan bintang lapangan ."
Suasana kelas matematika ramai dan berisik .,Suasana kelas matematika sepi dan hening .,0,Suasana kelas matematika seperti pesta ulang tahun.
Suasana kelas matematika ramai dan berisik .,Suasana kelas matematika sepi dan hening .,1,Suasana kelas matematika seperti bandara ketika lockdown COVID.
Acara yang kami hadiri menyenangkan.,Acara yang kami hadiri membosankan.,0,Acara seminar yang kami hadiri seperti acara komedi di televisi.
Acara yang kami hadiri menyenangkan.,Acara yang kami hadiri membosankan.,1,Acara seminar yang kami hadiri seperti pidato kebangsaan.
Usaha Scarlet sedang berjaya.,Usaha Scarlet sedang bangkrut.,0,Usaha Scarlet sedang naik daun.
Usaha Scarlet sedang berjaya.,Usaha Scarlet sedang bangkrut.,1,Usaha Scarlet sedang gulung tikar.
Mega menerima hadiah tersebut dengan sombong.,Mega menerima hadiah tersebut dengan santun.,0,Mega menerima hadiah tersebut dengan tinggi hati.
Mega menerima hadiah tersebut dengan sombong.,Mega menerima hadiah tersebut dengan santun.,1,Mega menerima hadiah tersebut dengan rendah hati.
Sepatu Dino terihat bersiih.,Sepatu Dino terihat kotor.,0,Sepatu Dino tampak seperti baru dicuci .
Sepatu Dino terihat bersiih.,Sepatu Dino terihat kotor.,1,Sepatu Dino tampak seperti habis bermain hujan .
rumahnya luas .,rumahnya sempit .,0,rumahnya seluas lapangan bola .
rumahnya luas .,rumahnya sempit .,1,rumahnya seluas gang sempit .
Chandra sedang jatuh cinta.,Chandra sedang sakit hati.,0,Hati Candra seperti dipenuhi bunga-bunga.
Chandra sedang jatuh cinta.,Chandra sedang sakit hati.,1,Hati Candra seperti dihujam pisau belati.
Tanaman ini pendek.,Tanaman ini tinggi.,0,Tinggi tanaman ini setinggi pohon toge.
Tanaman ini pendek.,Tanaman ini tinggi.,1,Tinggi tanaman ini setinggi pohon jati.
Kepergian Dinda terasa berat.,Kepergian Dinda terasa ringan.,0,Kepergian Dinda terasa seperti kiamat.
Kepergian Dinda terasa berat.,Kepergian Dinda terasa ringan.,1,Kepergian Dinda terasa seperti surga.
Kamar kosan Dinda terasa dingin.,Kamar kosan Dinda terasa panas.,0,Kamar kosan Dinda terasa seperti di Kutub Utara .
Kamar kosan Dinda terasa dingin.,Kamar kosan Dinda terasa panas.,1,Kamar kosan Dinda terasa seperti di gurun pasir .
harga makanan di sini mahal .,harga makanan di sini murah .,0,Harga makanan di sini seharga dua bungkus nasi padang .
harga makanan di sini mahal .,harga makanan di sini murah .,1,Harga makanan di sini seharga makanan pinggir jalan .
Dosen pembimbing kami Sulit ditemui.,Dosen pembimbing kami mudah ditemui.,0,Dosen pembimbing kami seperti tanaman langka.
Dosen pembimbing kami Sulit ditemui.,Dosen pembimbing kami mudah ditemui.,1,Dosen pembimbing kami seperti rumput liar.
Jam kerja di kantor ini tidak kenal waktu.,Jam kerja di kantor ini teratur.,0,Jam kerja di kantor ini seperti mesin waktu.
Jam kerja di kantor ini tidak kenal waktu.,Jam kerja di kantor ini teratur.,1,Jam kerja di kantor ini seperti tempat bermain anak-anak.
Ara dikenal sebagai gadis yang cerewet.,Ara dikenal sebagai gadis yang pendiam.,0,Ara dikenal sebagai gadis yang mirip burung beo.
Ara dikenal sebagai gadis yang cerewet.,Ara dikenal sebagai gadis yang pendiam.,1,Ara dikenal sebagai gadis yang mirip kelinci.
Kisah cinta kami abadi.,Kisah cinta kami sementara.,0,Kisah cinta kami seperti tanaman edelweis.
Kisah cinta kami abadi.,Kisah cinta kami sementara.,1,Kisah cinta kami seperti kisah Romeo dan Juliet.
Telapak kakinya besar.,Telapak kakinya kecil.,0,Telapak kakinya seperti kaki gajah.
Telapak kakinya besar.,Telapak kakinya kecil.,1,Telapak kakinya seperti kaki semut.
Hamid dan Rahmat Suka bertengkar.,Hamid dan Rahmat akur.,0,Hamid dan Rahmat seperti Tom and Jerry .
Hamid dan Rahmat Suka bertengkar.,Hamid dan Rahmat akur.,1,Hamid dan Rahmat seperti Dora dan Boots .
Kehadirannya menjadi bermanfaat bagi kami.,Kehadirannya menjadi bencana bagi kami.,0,Kehadirannya bagaikan bulan di malam hari bagi kami.
Kehadirannya menjadi bermanfaat bagi kami.,Kehadirannya menjadi bencana bagi kami.,1,Kehadirannya bulan di siang hari bagi kami.
kamarnya sejuk.,kamarnya panas.,0,Kamarnya seperti ubin masjid.
kamarnya sejuk.,kamarnya panas.,1,Kamarnya seperti padang masyar.
Damara bertingkah menggemaskan .,Damara bertingkah menyebalkan .,0,Damara bertingkah seperti anak kecil .
Damara bertingkah menggemaskan .,Damara bertingkah menyebalkan .,1,Damara bertingkah seperti merengek seperti anak kecil .
Kuku-kukunya pendek-pendek.,Kuku-kukunya panjang-panjang.,0,kuku-kukunnya seperti jengkol.
Kuku-kukunya pendek-pendek.,Kuku-kukunya panjang-panjang.,1,kuku-kukunnya seperti pete.
Dia bernyanyi dengan gelagapan.,Dia bernyanyi dengan lancar.,0,Dia bernyanyi seperti orang kumur-kumur.
Dia bernyanyi dengan gelagapan.,Dia bernyanyi dengan lancar.,1,Dia bernyanyi seperti penyanyi aslinya.
Dinda orangnya pemarah .,Dinda orangnya penyabar .,0,tingkat kesabaran Dinda sebesar tisu .
Dinda orangnya pemarah .,Dinda orangnya penyabar .,1,tingkat kesabaran Dinda sebesar kasih ibu .
airnya berasa tawar .,airnya berasa asin .,0,mata air di sini rasanya seperti air kolam .
airnya berasa tawar .,airnya berasa asin .,1,mata air di sini rasanya seperti air laut .
Rambutnya lurus.,Rambutnya keriting.,0,Rambutnya seperti bihun.
Rambutnya lurus.,Rambutnya keriting.,1,Rambutnya seperti mie kuning.
lawakannya garing .,lawakannya lucu .,0,Lawakannya seperti krupuk .
lawakannya garing .,lawakannya lucu .,1,Lawakannya seperti Sule .
Bila seorang pemalu .,Bila seorang pemberani .,0,Bila seperti tanaman putri malu .
Bila seorang pemalu .,Bila seorang pemberani .,1,Bila seperti singa putih .
Kasur ini keras .,Kasur ini empuk .,0,Kasur ini empuk sekali seperti tidur di lantai .
Kasur ini keras .,Kasur ini empuk .,1,Kasur ini empuk sekali seperti kasur mahal .
gaji yang ia dapat sedikit .,gaji yang ia dapat banyak .,0,Gaji yang ia dapatkan seperti  angin kosong .
gaji yang ia dapat sedikit .,gaji yang ia dapat banyak .,1,Gaji yang ia dapatkan seperti  tumpukan jerami .
Bulu matanya tebal .,Bulu matanya tipis .,0,Bulu matanya seperti ulat bulu .
Bulu matanya tebal .,Bulu matanya tipis .,1,Bulu matanya seperti orang bisa melihat tuyul .
baju mereka gelap .,baju mereka warna-warni .,0,Baju mereka seperti orang yang sedang berduka .
baju mereka gelap .,baju mereka warna-warni .,1,Baju mereka seperti pelangi .
Kolom chatku sepi .,Kolom chatku ramai .,0,kolom chatku seperti ruang isolasi.
Kolom chatku sepi .,Kolom chatku ramai .,1,kolom chatku seperti karnival.
Ia minum sedikit .,Ia minum banyak .,0,Ia minum seperti burung .
Ia minum sedikit .,Ia minum banyak .,1,Ia minum seperti orang kehausan .
Cara bicaranya santun .,Cara bicaranya tidak berisi atau tidak sopan .,0,Cara bicaranya seperti orang terpelajar .
Cara bicaranya santun .,Cara bicaranya tidak berisi atau tidak sopan .,1,Cara bicaranya seperti tong kosong nyaring bunyinya .
kedatangannya bisa jadi rumit .,kedatangannya bisa jadi ketenangan .,0,kedatangannya bisa jadi seperti hujan angin .
kedatangannya bisa jadi rumit .,kedatangannya bisa jadi ketenangan .,1,kedatangannya bisa jadi seperti angin sepoi-sepoi .
sifat manusia bisa ngga punya malu.,sifat manusia bisa ingin dikenal.,0,sifat manusia bisa seperti muka dua .
sifat manusia bisa ngga punya malu.,sifat manusia bisa ingin dikenal.,1,sifat manusia bisa seperti cari muka .
tampangnya garang.,tampangnya halus.,0,tampangnya seperti preman pasar .
tampangnya garang.,tampangnya halus.,1,tampangnya seperti Hello Kitty .
